id,title2,release_year,imdb_id
1,Toy Story,1995,tt0114709
2,GoldenEye,1995,tt0113189
3,Four Rooms,1995,tt0113101
4,Get Shorty,1995,tt0113161
5,Copycat,1995,tt0112722
6,Shanghai Triad,1995,tt0115012
7,Twelve Monkeys,1995,tt0114746
8,Babe,1995,tt0112431
9,Dead Man Walking,1995,tt0112818
10,Richard III,1995,tt0114279
11,Seven,1995,
12,The Usual Suspects,1995,tt0114814
13,Mighty Aphrodite,1995,tt0113819
14,Il Postino,1994,
15,Mr. Holland's Opus,1995,tt0113862
16,French Twist,1995,tt0113149
17,From Dusk Till Dawn,1996,tt0116367
18,The White Balloon,1995,tt0112445
19,Antonia's Line,1995,tt0112379
20,Angels and Insects,1995,tt0112365
21,Muppet Treasure Island,1996,tt0117110
22,Braveheart,1995,tt0112573
23,Taxi Driver,1976,tt0075314
24,Rumble in the Bronx,1995,tt0113326
25,The Birdcage,1996,tt0115685
26,The Brothers McMullen,1995,tt0112585
27,Bad Boys,1995,tt0112442
28,Apollo 13,1995,tt0112384
29,Batman Forever,1995,tt0112462
30,Belle de jour,1967,tt0061395
31,Crimson Tide,1995,tt0112740
32,Crumb,1994,tt0109508
33,Desperado,1995,tt0112851
34,The Doom Generation,1995,tt0112887
35,Free Willy 2: The Adventure Home,1995,tt0113114
36,Mad Love,1995,tt0113729
37,Nadja,1994,tt0110620
38,The Net,1995,tt0113957
39,Strange Days,1995,tt0114558
40,Thanks for Everything! Julie Newmar To Wong Foo,1995,
41,Billy Madison,1995,tt0112508
42,Clerks,1994,tt0109445
43,Disclosure,1994,tt0109635
44,Dolores Claiborne,1994,
45,Eat Drink Man Woman,1994,tt0111797
46,Exotica,1994,tt0109759
47,Ed Wood,1994,tt0109707
48,Hoop Dreams,1994,tt0110057
49,I.Q.,1994,tt0110099
50,Star Wars,1977,tt0076759
51,Legends of the Fall,1994,tt0110322
52,The Madness of King George,1994,tt0110428
53,Natural Born Killers,1994,tt0110632
54,Outbreak,1995,tt0114069
55,The Professional,1994,
56,Pulp Fiction,1994,tt0110912
57,Priest,1994,tt0110889
58,Quiz Show,1994,tt0110932
59,Three Colors: Red,1994,tt0111495
60,Three Colors: Blue,1993,tt0108394
61,Three Colors: White,1994,tt0111507
62,Stargate,1994,tt0111282
63,The Santa Clause,1994,tt0111070
64,The Shawshank Redemption,1994,tt0111161
65,What's Eating Gilbert Grape,1993,tt0108550
66,While You Were Sleeping,1995,tt0114924
67,Ace Ventura: Pet Detective,1994,tt0109040
68,The Crow,1994,tt0109506
69,Forrest Gump,1994,tt0109830
70,Four Weddings and a Funeral,1994,tt0109831
71,The Lion King,1994,tt0110357
72,The Mask,1994,tt0110475
73,Maverick,1994,tt0110478
74,Faster Pussycat! Kill! Kill!,1965,
75,Brother Minister: The Assassination of Malcolm X,1994,tt0109339
76,Carlito's Way,1993,tt0106519
77,The Firm,1993,tt0106918
78,Free Willy,1993,tt0106965
79,The Fugitive,1993,tt0106977
80,Hot Shots! Part Deux,1993,tt0107144
81,The Hudsucker Proxy,1994,tt0110074
82,Jurassic Park,1993,tt0107290
83,Much Ado About Nothing,1993,tt0107616
84,Robert A. Heinlein's The Puppet Masters,1994,
85,The Ref,1994,tt0110955
86,The Remains of the Day,1993,tt0107943
87,Searching for Bobby Fischer,1993,tt0108065
88,Sleepless in Seattle,1993,tt0108160
89,Blade Runner,1982,tt0083658
90,So I Married an Axe Murderer,1993,tt0108174
91,The Nightmare Before Christmas,1993,tt0107688
92,True Romance,1993,tt0108399
93,Welcome to the Dollhouse,1995,tt0114906
94,Home Alone,1990,tt0099785
95,Aladdin,1992,tt0103639
96,Terminator 2: Judgment Day,1991,tt0103064
97,Dances with Wolves,1990,tt0099348
98,The Silence of the Lambs,1991,tt0102926
99,Snow White and the Seven Dwarfs,1937,tt0029583
100,Fargo,1996,tt0116282
