,title,title2,release_year,release_date,video_release_date,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,imdb_id
1,Toy Story (1995),Toy Story,1995,01-Jan-1995,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0114709
2,GoldenEye (1995),GoldenEye,1995,01-Jan-1995,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0113189
3,Four Rooms (1995),Four Rooms,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0113101
4,Get Shorty (1995),Get Shorty,1995,01-Jan-1995,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0113161
5,Copycat (1995),Copycat,1995,01-Jan-1995,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,tt0112722
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0115012
7,Twelve Monkeys (1995),Twelve Monkeys,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,tt0114746
8,Babe (1995),Babe,1995,01-Jan-1995,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0112431
9,Dead Man Walking (1995),Dead Man Walking,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0112818
10,Richard III (1995),Richard III,1995,22-Jan-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt0114279
11,Seven (Se7en) (1995),Seven,1995,01-Jan-1995,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tt0114369
12,"Usual Suspects, The (1995)",The Usual Suspects,1995,14-Aug-1995,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tt0114814
13,Mighty Aphrodite (1995),Mighty Aphrodite,1995,30-Oct-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0113819
14,"Postino, Il (1994)",Il Postino,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0110877
15,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,29-Jan-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0113862
16,French Twist (Gazon maudit) (1995),French Twist,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0113149
17,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,05-Feb-1996,,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,tt0116367
18,"White Balloon, The (1995)",The White Balloon,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0112445
19,Antonia's Line (1995),Antonia's Line,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0112379
20,Angels and Insects (1995),Angels and Insects,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0112365
21,Muppet Treasure Island (1996),Muppet Treasure Island,1996,16-Feb-1996,,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,tt0117110
22,Braveheart (1995),Braveheart,1995,16-Feb-1996,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt0112573
23,Taxi Driver (1976),Taxi Driver,1976,16-Feb-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0075314
24,Rumble in the Bronx (1995),Rumble in the Bronx,1995,23-Feb-1996,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0113326
25,"Birdcage, The (1996)",The Birdcage,1996,08-Mar-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0115685
26,"Brothers McMullen, The (1995)",The Brothers McMullen,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt6155832
